taxon_key,n_total,n_koeder,h_stat,p_value,eta_sq,dominant_koeder_mean,lowest_koeder_mean,mean_diff_max_minus_min,mean_control,occ_control,mean_fischmix,occ_fischmix,mean_mackerel,occ_mackerel,mean_sargassum,occ_sargassum,mean_ulva_gutweed,occ_ulva_gutweed,mean_ulva_salad,occ_ulva_salad,p_value_holm,significant_0_05,significant_0_05_holm,sig_label_raw,sig_label_holm
species::orange-lined (balistapus undulatus),18,6,15.4191431401684,0.008713790141769295,0.8682619283473666,fischmix,control,8.5,0.0,0.0,8.5,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.12199306198477013,True,False,**,ns
species::redmouth (aethaloperca rogaa),18,6,13.357142857142854,0.02025220596266144,0.6964285714285712,fischmix,control,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2632786775145987,True,False,*,ns
species::black-lipped (chaetodon kleinii),18,6,11.892361111111095,0.03629282268666945,0.5743634259259246,fischmix,control,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.43551387224003346,True,False,*,ns
species::green (amblyglyphidodon indicus),18,6,11.272670025188908,0.046233880646044,0.5227225020990757,mackerel,ulva_gutweed,5.666666666666667,0.25,0.25,5.0,1.0,5.666666666666667,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.508572687106484,True,False,*,ns
species::blacktip (epinephelus fasciatus),18,6,9.06666666666665,0.10643441265344976,0.3388888888888875,mackerel,control,0.6666666666666666,0.0,0.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,ns,ns
species::moon (thalassoma lunare),18,6,8.521109271523159,0.1297588808571704,0.29342577262692987,fischmix,control,3.5,0.0,0.0,3.5,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,False,False,ns,ns
species::red (lutjanus bohar),18,6,8.499999999999998,0.1307477892744251,0.2916666666666665,fischmix,control,1.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,False,False,ns,ns
species::freckled (paracirrhites forsteri),18,6,7.999999999999955,0.15623562757772502,0.24999999999999623,fischmix,control,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,ns,ns
species::longfin banner (heniochus acuminatus),18,6,5.6715686274509505,0.3394992013667729,0.055964052287579204,mackerel,control,0.6666666666666666,0.0,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,ns,ns
family_label::groupers feeding,18,6,5.6715686274509505,0.3394992013667729,0.055964052287579204,mackerel,control,1.0,0.0,0.0,0.5,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,ns,ns
family_label::naso feeding,18,6,4.999999999999961,0.41588018699551266,0.0,ulva_salad,control,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,False,False,ns,ns
species::false-eye (abudefduf sparoides),18,6,4.999999999999961,0.41588018699551266,0.0,mackerel,control,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,ns,ns
species::undulated (gymnothorax undulatus),18,6,4.999999999999961,0.41588018699551266,0.0,mackerel,control,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,ns,ns
species::goldbar (thalassoma hebraicum),18,6,4.283036122542275,0.5094259439285291,0.0,sargassum,control,1.6666666666666667,0.0,0.0,0.5,0.5,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,False,False,ns,ns
