taxon_key,n_total,h_stat,p_value,eta_sq,mean_milimani,mean_utumbi,mean_nursery,median_milimani,median_utumbi,median_nursery,dominant_site_mean,lowest_site_mean,mean_diff_max_minus_min,p_value_holm,significant_0_05,significant_0_05_holm,sig_label_raw,sig_label_holm
species::humpback (lutjanus gibbus),46,43.913929909631925,2.9121335030888305e-10,0.9747425560379518,0.0,0.0,20.181818181818183,0.0,0.0,20.0,nursery,milimani,20.181818181818183,4.688534939973017e-08,True,True,***,***
species::threespot dascyllus (dascyllus trimaculatus),46,43.913929909631925,2.9121335030888305e-10,0.9747425560379518,0.0,0.0,8.0,0.0,0.0,7.0,nursery,milimani,8.0,4.688534939973017e-08,True,True,***,***
species::blackwhite (macolor niger),46,39.77272727272727,2.309202439389676e-09,0.8784355179704018,0.0,0.0,0.9090909090909091,0.0,0.0,1.0,nursery,milimani,0.9090909090909091,3.6716318786295847e-07,True,True,***,***
species::monk (acanthurus gahhm),46,37.26995293843573,8.071096670063842e-09,0.8202314636845518,0.11764705882352941,0.05555555555555555,2.727272727272727,0.0,0.0,2.0,nursery,utumbi,2.6717171717171717,1.275233273870087e-06,True,True,***,***
genus::genus soldier,46,37.10382607859852,8.770140244498363e-09,0.8163680483395005,0.29411764705882354,3.1666666666666665,0.0,0.0,3.0,0.0,utumbi,nursery,3.1666666666666665,1.376912018386243e-06,True,True,***,***
genus::genus squirrel,46,35.336795956167464,2.1218381520587585e-08,0.775274324562034,0.11764705882352941,4.111111111111111,0.0,0.0,4.5,0.0,utumbi,nursery,4.111111111111111,3.3100675172116635e-06,True,True,***,***
species::five-saddle (scarus saber),46,33.87096774193548,4.4158346857617804e-08,0.7411852963240809,0.0,0.8333333333333334,0.0,0.0,1.0,0.0,utumbi,milimani,0.8333333333333334,6.844543762930759e-06,True,True,***,***
species::orange-lined (balistapus undulatus),46,32.08189661859734,1.0802012233088247e-07,0.6995789911301707,1.411764705882353,3.3333333333333335,0.0,1.0,2.0,0.0,utumbi,nursery,3.3333333333333335,1.66350988389559e-05,True,True,***,***
species::regal (pygoplites diacanthus),46,27.09545454545454,1.3070638492870849e-06,0.5836152219873149,1.411764705882353,1.2777777777777777,0.0,1.0,1.0,0.0,milimani,nursery,1.411764705882353,0.00019998076894092397,True,True,***,***
species::golden (ctenochaetus truncates),46,26.793697685869013,1.5199260996573306e-06,0.5765976206016049,0.0,1.6666666666666667,0.0,0.0,2.0,0.0,utumbi,milimani,1.6666666666666667,0.00023102876714791424,True,True,***,***
species::bird wrasse (gomphosus caeruleus),46,25.844529408449375,2.4430465676003306e-06,0.5545239397313808,1.4705882352941178,1.7222222222222223,0.09090909090909091,1.0,2.0,0.0,utumbi,nursery,1.6313131313131315,0.00036890003170764993,True,True,***,***
species::blue barred (scarus ghobban),46,25.480168812712623,2.931241787808344e-06,0.5460504375049448,0.0,0.0,1.7272727272727273,0.0,0.0,1.0,nursery,milimani,1.7272727272727273,0.0004396862681712516,True,True,***,***
species::blackspot (lutjanus fulviflamma),46,25.480168812712623,2.931241787808344e-06,0.5460504375049448,0.0,0.0,3.909090909090909,0.0,0.0,1.0,nursery,milimani,3.909090909090909,0.0004396862681712516,True,True,***,***
species::indian half-and-half (pycnochromis dimidiatus),46,25.429760945474086,3.006059501041601e-06,0.5448781615226532,48.1764705882353,54.44444444444444,0.0,30.0,46.0,0.0,utumbi,nursery,54.44444444444444,0.00044489680615415696,True,True,***,***
species::goldbar (thalassoma hebraicum),46,25.222617448047647,3.3340968528126646e-06,0.540060870884829,1.411764705882353,2.0555555555555554,0.09090909090909091,1.0,2.0,0.0,utumbi,nursery,1.9646464646464645,0.0004901122373634617,True,True,***,***
species::barred (hemigymnus fasciatus),46,25.029458009618935,3.672165538947428e-06,0.5355687909213706,1.1764705882352942,0.9444444444444444,0.0,1.0,1.0,0.0,milimani,nursery,1.1764705882352942,0.0005361361686863244,True,True,***,***
species::bicolor (labroides bicolor),46,25.001899844290108,3.723114822547934e-06,0.5349279033555839,0.11764705882352941,1.2222222222222223,0.09090909090909091,0.0,1.0,0.0,utumbi,nursery,1.1313131313131315,0.0005398516492694504,True,True,***,***
species::brown pigmy (centropyge multispinis),46,24.246508331823307,5.431722984820798e-06,0.5173606588796118,2.235294117647059,1.6666666666666667,0.09090909090909091,2.0,2.0,0.0,milimani,nursery,2.144385026737968,0.0007821681098141949,True,True,***,***
species::redmouth (aethaloperca rogaa),46,23.300392638627923,8.717340811906411e-06,0.49535796834018425,1.3529411764705883,1.3888888888888888,0.18181818181818182,1.0,1.0,0.0,utumbi,nursery,1.207070707070707,0.0012465797361026168,True,True,***,**
species::whitetail (acanthurus thompsoni),46,22.755203550658116,1.1449073190182285e-05,0.48267915234088643,0.0,1.3333333333333333,0.18181818181818182,0.0,1.0,0.0,utumbi,milimani,1.3333333333333333,0.0016257683930058844,True,True,***,**
species::lined bristletooth (ctenochaetus striatus),46,22.694747289114392,1.180044111508323e-05,0.48127319277010217,4.176470588235294,1.5,2.1818181818181817,4.0,1.0,2.0,milimani,utumbi,2.6764705882352944,0.0016638621972267353,True,True,***,**
species::leopard (cephalopholis leopardus),46,22.39103991186796,1.3735594497770353e-05,0.4742102305085572,0.29411764705882354,1.2222222222222223,0.0,0.0,1.0,0.0,utumbi,nursery,1.2222222222222223,0.0019229832296878493,True,True,***,**
species::titan (balistoides viridescens),46,22.378717205744916,1.3820485598447808e-05,0.4739236559475562,0.5882352941176471,0.0,1.2727272727272727,1.0,0.0,1.0,nursery,utumbi,1.2727272727272727,0.0019229832296878493,True,True,***,**
species::arabian monocle (scolopsis ghanam),46,21.308050819030154,2.360562777036219e-05,0.44902443765186406,0.11764705882352941,0.4444444444444444,7.0,0.0,0.0,8.0,nursery,milimani,6.882352941176471,0.0032575766323099825,True,True,***,**
species::sixbar (thalassoma hardwicke),46,20.593065207414828,3.3749916871770704e-05,0.4323968652887169,1.9411764705882353,0.7222222222222222,0.09090909090909091,1.0,0.0,0.0,milimani,nursery,1.8502673796791445,0.0046237386114325865,True,True,***,**
species::peacock (cephalopholis argus),46,20.497689075630213,3.5398378717461785e-05,0.4301788157123305,0.7058823529411765,0.05555555555555555,0.0,1.0,0.0,0.0,milimani,nursery,0.7058823529411765,0.0048141795055748025,True,True,***,**
species::axilspot hogfish (bodianus axillaris),46,20.15191646895198,4.2079148101498914e-05,0.42213759230120884,1.0588235294117647,0.8333333333333334,0.0,1.0,1.0,0.0,milimani,nursery,1.0588235294117647,0.005680684993702353,True,True,***,**
species::brown tang (zebrasoma scopas),46,18.523642084480112,9.498220095935684e-05,0.3842707461507003,2.9411764705882355,1.5,0.45454545454545453,3.0,1.0,0.0,milimani,nursery,2.486631016042781,0.012727614928553817,True,True,***,*
family_label::cornetfishes (fistulariidae),46,17.54188666483477,0.00015517712796772067,0.3614392247635993,0.058823529411764705,0.0,1.3636363636363635,0.0,0.0,1.0,nursery,utumbi,1.3636363636363635,0.02063855801970685,True,True,***,*
species::yellow-margin (gymnothorax flavimarginatus),46,17.405823563328827,0.00016610145498932214,0.3582749665890425,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,nursery,milimani,0.6363636363636364,0.021925392058590523,True,True,***,*
species::freckled (paracirrhites forsteri),46,16.983702571937854,0.0002051331482571008,0.348458199347392,0.47058823529411764,1.0,0.0,0.0,1.0,0.0,utumbi,nursery,1.0,0.026872442421680204,True,True,***,*
species::elegant unicorn (naso elegans),46,16.917100959139546,0.00021207926120231092,0.34690932463115226,0.17647058823529413,0.7222222222222222,0.0,0.0,1.0,0.0,utumbi,nursery,0.7222222222222222,0.027570303956300418,True,True,***,*
species::sulfur (pomacentrus sulfureus),46,16.888111888111887,0.00021517563764468544,0.3462351601886485,0.0,0.6111111111111112,0.0,0.0,0.5,0.0,utumbi,milimani,0.6111111111111112,0.02775765725616442,True,True,***,*
species::false-eye (abudefduf sparoides),46,16.328324891650592,0.0002846749810526902,0.3332168579453626,0.0,1.2222222222222223,0.6363636363636364,0.0,1.0,1.0,utumbi,milimani,1.2222222222222223,0.03643839757474435,True,True,***,*
genus::genus naso,46,16.115104152303214,0.00031670111740447006,0.32825823610007476,0.47058823529411764,1.3888888888888888,0.0,0.0,1.0,0.0,utumbi,nursery,1.3888888888888888,0.0402210419103677,True,True,***,*
family_label::fusiliers (caesionidae),46,15.925020817493913,0.00034827769970767074,0.323837693430091,0.0,20.11111111111111,4.363636363636363,0.0,1.0,4.0,utumbi,milimani,20.11111111111111,0.04388299016316651,True,True,***,*
species::disappearing (pseudocheilinus evanidus),46,15.524078609445192,0.00042558779193027554,0.31451345603360914,0.9411764705882353,2.4444444444444446,0.2727272727272727,1.0,1.5,0.0,utumbi,nursery,2.171717171717172,0.05319847399128444,True,False,***,ns
species::humpnose bigeye (monotaxis grandoculis),46,15.463282091885535,0.0004387235605113441,0.3130995835322217,3.764705882352941,0.6111111111111112,0.6363636363636364,2.0,1.0,0.0,milimani,utumbi,3.15359477124183,0.05440172150340667,True,False,***,ns
species::blackeye (hemigymnus melapterus),46,15.43792625745952,0.00044432106889125703,0.31250991296417485,0.6470588235294118,0.7777777777777778,0.0,1.0,1.0,0.0,utumbi,nursery,0.7777777777777778,0.054651491473624615,True,False,***,ns
species::chevroned (chaetodon trifascialis),46,15.216503267973849,0.0004963388823518854,0.3073605411156709,0.5294117647058824,0.05555555555555555,0.0,1.0,0.0,0.0,milimani,nursery,0.5294117647058824,0.06055334364693002,True,False,***,ns
species::spotted (chaetodon guttatissimus),46,14.730950059581842,0.0006327247719683129,0.29606860603678703,1.4705882352941178,0.8888888888888888,0.0,2.0,1.0,0.0,milimani,nursery,1.4705882352941178,0.07655969740816586,True,False,***,ns
species::yellowbreast (anampses twistii),46,14.678062678062666,0.0006496795354521897,0.2948386669316899,0.0,0.5,0.0,0.0,0.0,0.0,utumbi,milimani,0.5,0.07796154425426276,True,False,***,ns
family_label::wrasses (labridae),46,14.212641534605256,0.0008199060747103995,0.2840149194094245,1.0588235294117647,1.2777777777777777,0.18181818181818182,1.0,1.0,0.0,utumbi,nursery,1.0959595959595958,0.09756882289053753,True,False,***,ns
species::scissortail sergeant (abudefduf sexfasciatus),46,13.699927395596275,0.0010594941541801487,0.2720913347813087,1.0588235294117647,0.0,1.5454545454545454,0.0,0.0,1.0,nursery,utumbi,1.5454545454545454,0.12502031019325754,True,False,**,ns
species::queen (coris formosa),46,13.636363636363605,0.00109370767500247,0.27061310782240944,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,nursery,milimani,0.36363636363636365,0.12796379797528898,True,False,**,ns
genus::zebrasoma,46,13.61522198731498,0.0011053303895247704,0.27012144156546464,0.0,0.0,0.6363636363636364,0.0,0.0,0.0,nursery,milimani,0.6363636363636364,0.12821832518487336,True,False,**,ns
species::black-backed (chaetodon melannotus),46,13.477216221248764,0.0011842944167639769,0.2669120051453201,1.0,0.2777777777777778,2.909090909090909,1.0,0.0,2.0,nursery,utumbi,2.6313131313131315,0.13619385792785735,True,False,**,ns
species::checkerboard (halichoeres hortulanus),46,13.27153449357994,0.001312571292616111,0.2621287091530219,0.8823529411764706,0.7222222222222222,0.09090909090909091,1.0,1.0,0.0,milimani,nursery,0.7914438502673796,0.14963312735823667,True,False,**,ns
species::bullethead (chlorurus sordidus),46,13.180924347732294,0.0013734050649870635,0.26002149645889056,2.3529411764705883,2.7222222222222223,0.6363636363636364,2.0,2.0,0.0,utumbi,nursery,2.085858585858586,0.15519477234353818,True,False,**,ns
species::swarthy (scarus niger),46,13.175133689839562,0.0013773872865656203,0.2598868299962689,0.5882352941176471,0.6666666666666666,0.0,1.0,1.0,0.0,utumbi,nursery,0.6666666666666666,0.15519477234353818,True,False,**,ns
species::eclipse (chaetodon bennetti),46,12.429753151260497,0.001999463117657447,0.2425523988665232,0.4117647058823529,0.8333333333333334,0.0,0.0,1.0,0.0,utumbi,nursery,0.8333333333333334,0.2219404060599766,True,False,**,ns
family_label::puffers (tetraodontidae),46,12.373902998006303,0.0020560851867504858,0.24125355809316984,0.6470588235294118,0.0,0.18181818181818182,0.0,0.0,0.0,milimani,utumbi,0.6470588235294118,0.22616937054255343,True,False,**,ns
species::indian redfin (chaetodon trifasciatus),46,12.109506473529965,0.0023466811238564683,0.2351048017099992,2.176470588235294,1.4444444444444444,0.8181818181818182,2.0,1.5,1.0,milimani,nursery,1.3582887700534756,0.25578824250035503,True,False,**,ns
species::blue-streak (labroides dimidiatus),46,12.087685400060549,0.0023724248580649027,0.23459733488512904,0.17647058823529413,1.1111111111111112,0.2727272727272727,0.0,1.0,0.0,utumbi,milimani,0.934640522875817,0.2562218846710095,True,False,**,ns
species::longnose (oxymonacanthus longirostris),46,11.468638284042912,0.0032330828894193693,0.22020089032657936,1.0,0.3333333333333333,0.0,1.0,0.0,0.0,milimani,nursery,1.0,0.3459398691678725,True,False,**,ns
species::sailfin tang (zebrasoma desjardinii),46,11.431848440380913,0.00329310556011569,0.21934531256699796,6.176470588235294,1.1666666666666667,1.8181818181818181,0.0,0.0,2.0,milimani,utumbi,5.009803921568627,0.34906918937226317,True,False,**,ns
family_label::jacks/trevallyes (carangidae),46,11.400097228974223,0.0033458027990304743,0.21860691230172613,0.35294117647058826,0.4444444444444444,1.4545454545454546,0.0,0.0,1.0,nursery,milimani,1.1016042780748663,0.3513092938981998,True,False,**,ns
genus::genus chromis,46,11.261843316542341,0.0035852694108964253,0.2153917050358684,57.1764705882353,33.5,1.6363636363636365,55.0,27.5,1.0,milimani,nursery,55.540106951871664,0.3728680187332282,True,False,**,ns
family_label::groupers (serranidae),46,10.838405290031115,0.004430678062986656,0.20554430907049107,1.1176470588235294,1.6111111111111112,0.5454545454545454,1.0,1.5,0.0,utumbi,nursery,1.0656565656565657,0.45635984048762557,True,False,**,ns
